Certificate,Tx Hash,Pinata Upload (ms),Transaction Latency (ms),Total Time (ms),Gas Used
red_light_frame_1_20250630_213209.jpg,c9f327f47f227be1b2ad98b5e61574c0b89a4bbf6fd9a64164f3160b84fe184e,3781.79,143.27,3979.85,314726
red_light_frame_2_20250630_190011.jpg,9a963dc7050e16f93e23c32a5e6c092877fa413e4062015a3330955ab8c35730,4413.06,287.59,4746.44,314726
red_light_frame_3_20250630_190012.jpg,83a250d82fec270f9a717d1ec5487369dc2b799e60733d06cead611f6eee529a,4711.52,180.96,4963.93,314726
red_light_frame_4_20250630_202251.jpg,7fc5f07c1936f5c7f9800baa3f0cc8136332828515947b225925f252be961f54,3851.22,164.58,4076.37,314726
red_light_frame_5_20250630_202253.jpg,2b666c6123ba2991a40c924c47003f259fa9845a01b16cf8c128b94087f21edf,5259.75,113.72,5417.55,314726
red_light_frame_6_20250630_213216.jpg,edf382764ef253d060a0c7ad10620b02a2b64ff9b86abedcc3a44f63b88f1cd0,6410.45,387.98,6844.98,314726
red_light_frame_7_20250630_202256.jpg,a75ba406b9603753902ae73126824fbf62c74d139a7a44a848bf05c6c635cf57,5404.07,142.93,5675.81,314726
red_light_frame_8_20250630_202257.jpg,dcd765a7994acb46fa81bf2cc0dfc89554e156a012d0fe9e24521e69fb2a8044,4397.35,156.0,4608.82,314726
red_light_frame_9_20250630_202259.jpg,0b31d540a2c5207fffbd0e64090dbd8fb1e52e4599a48156b1ea13a9593fe220,4497.3,158.09,4705.58,314726
red_light_frame_10_20250630_190021.jpg,e400dc37573ea8930f9f735b7c0965d728598e6de5e5d706a928821925ac5c61,6881.04,166.47,7110.29,314726
Speeding_11_20250629_205242.jpg,7157aee5b9b8a1db2935b2faaab27ce6bc9eca2bec9d627d03e05a185011b6f4,18242.06,280.89,18600.16,314726
Speeding_12_20250630_190023.jpg,acf67f24e6b1a79e2e88352e0ac20765411797e163597442efd644f054bf7e4f,15697.76,110.68,15861.94,314726
Speeding_13_20250630_213224.jpg,f01c6595f6e9eda8b05e7f254e11298a340fa4f0253aef637e1c3bfe5aa91a97,6544.81,113.34,6714.1,314726
Speeding_13_20250630_213224.jpg,d340d67ad2c8d01262499665b956729aacba74db5e372e28da363cdf52485bf6,7185.42,104.46,7341.97,314726
Speeding_14_20250630_213942.jpg,f78ece9757e0fbf3d4aea7433b7e9c53893675051e06ebc9ea60616233f5ae1d,6378.15,105.54,6524.35,314726
Speeding_14_20250701_020400.jpg,b210b6aa556be5689a9367bf4f39a0560afbe99a61bd40c17adbb042520321d5,6132.07,98.07,6334.98,314726
Speeding_15_20250630_203049.jpg,818d723149e96fdf2c45f05f0b7101b82b228b225ff16b704feb6aed33f9fa55,6334.44,323.06,6691.2,314726
No_Helmet_16_20250630_203048.jpg,afece583be92c8779d3e0c824caecb601dc80cb79a9ab64c19abe98b7772878d,7384.29,81.63,7527.29,314726
No_Helmet_17_20250630_213231.jpg,f0d94616eb8e23b37a1ffa1813e1c77e72cf4b938471eb920febc50e08384d99,6570.19,97.28,6727.0,314726
No_Helmet_18_20250701_020100.jpg,5a576c8dcea3ff9f80c81c71a8468797a89e961df8a240b3642d29045db7bb69,8237.52,104.64,8404.31,314726
No_Helmet_19_20250630_190055.jpg,452af7a644e31b58d5b37b9cbe8e07b63c1cdff13e1630f1a95cd7bb8975ae70,7408.2,137.02,7582.74,314726
No_Helmet_20_20250630_190127.jpg,28ae2da2c9438ef7f0b04f53b1908c611ea14ceb9072a4043a1351eebb4df0aa,7971.83,100.97,8131.23,314726
